==================  TRAIN  track2_both_pass_expanded  (seed 42)  ==================
=== Config ===
{
  "model_name_or_path": "Qwen/Qwen2.5-Coder-7B",
  "output_dir": "runs/qwen7b_qlora_v1",
  "quantization": {
    "load_in_4bit": true,
    "bnb_4bit_quant_type": "nf4",
    "bnb_4bit_use_double_quant": true,
    "bnb_4bit_compute_dtype": "bfloat16"
  },
  "lora": {
    "r": 32,
    "alpha": 64,
    "dropout": 0.05,
    "target_modules": [
      "q_proj",
      "k_proj",
      "v_proj",
      "o_proj",
      "gate_proj",
      "up_proj",
      "down_proj"
    ]
  },
  "training": {
    "per_device_train_batch_size": 2,
    "per_device_eval_batch_size": 4,
    "gradient_accumulation_steps": 8,
    "num_train_epochs": 1.5,
    "learning_rate": 0.0002,
    "lr_scheduler_type": "cosine",
    "warmup_ratio": 0.1,
    "weight_decay": 0.01,
    "bf16": true,
    "optim": "paged_adamw_8bit",
    "packing": true,
    "max_seq_length": 1024,
    "seed": 42,
    "eval_steps": 10,
    "save_steps": 10,
    "save_total_limit": 3,
    "logging_steps": 1,
    "report_to": "none",
    "load_best_model_at_end": true,
    "metric_for_best_model": "eval_loss"
  }
}
=== Output: runs/seed42/track2_both_pass_expanded ===
Dropped over-length (> 1024 tok) examples: {'train': 0, 'validation': 0}
Train: 9888, Val: 3484
Sample text[0]:
### Instruction:
For the given Elixir function definition, infer the most precise correct function type, written as an Elixir set-theoretic type annotation. Respond only with Elixir Types (Descr) syntax.

### Input:
def supported?(codepoint, %FontMetrics{metrics: metrics}) when is_integer(codepoint) do
  Map.has_key?(metrics, codepoint)
end
def supported?(char_list, %FontMetrics{} = metrics) when is_list(char_list) do
  Enum.all?(char_list, &supported?(&1, metrics))
end
def supported?(string, %FontMetrics{} = metrics) when is_bitstring(string) do
  string |> String.to_charlist() |> supported?(
{'loss': 1.2645, 'grad_norm': 0.6894631385803223, 'learning_rate': 1.1764705882352942e-05, 'epoch': 0.01}
{'loss': 1.2403, 'grad_norm': 0.6915667653083801, 'learning_rate': 2.3529411764705884e-05, 'epoch': 0.02}
{'loss': 1.2493, 'grad_norm': 0.620595395565033, 'learning_rate': 3.529411764705883e-05, 'epoch': 0.03}
{'loss': 1.1878, 'grad_norm': 0.4496048092842102, 'learning_rate': 4.705882352941177e-05, 'epoch': 0.04}
{'loss': 1.1611, 'grad_norm': 0.3270396888256073, 'learning_rate': 5.882352941176471e-05, 'epoch': 0.04}
{'loss': 1.1244, 'grad_norm': 0.34112119674682617, 'learning_rate': 7.058823529411765e-05, 'epoch': 0.05}
{'loss': 1.132, 'grad_norm': 0.30053555965423584, 'learning_rate': 8.23529411764706e-05, 'epoch': 0.06}
{'loss': 1.0802, 'grad_norm': 0.2700696587562561, 'learning_rate': 9.411764705882353e-05, 'epoch': 0.07}
{'loss': 1.0725, 'grad_norm': 0.2739259898662567, 'learning_rate': 0.00010588235294117647, 'epoch': 0.08}
{'loss': 0.997, 'grad_norm': 0.2764394283294678, 'learning_rate': 0.00011764705882352942, 'epoch': 0.09}
{'eval_loss': 1.0332883596420288, 'eval_runtime': 85.5104, 'eval_samples_per_second': 6.911, 'eval_steps_per_second': 1.731, 'epoch': 0.09}
{'loss': 0.9864, 'grad_norm': 0.3629859983921051, 'learning_rate': 0.00012941176470588237, 'epoch': 0.1}
{'loss': 0.9437, 'grad_norm': 0.35081541538238525, 'learning_rate': 0.0001411764705882353, 'epoch': 0.11}
{'loss': 0.9399, 'grad_norm': 0.3063001036643982, 'learning_rate': 0.00015294117647058822, 'epoch': 0.12}
{'loss': 0.8702, 'grad_norm': 0.31914079189300537, 'learning_rate': 0.0001647058823529412, 'epoch': 0.12}
{'loss': 0.8469, 'grad_norm': 0.26551276445388794, 'learning_rate': 0.00017647058823529413, 'epoch': 0.13}
{'loss': 0.8282, 'grad_norm': 0.30532896518707275, 'learning_rate': 0.00018823529411764707, 'epoch': 0.14}
{'loss': 0.7939, 'grad_norm': 0.3052879571914673, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 0.7517, 'grad_norm': 0.30295342206954956, 'learning_rate': 0.0001999783578606323, 'epoch': 0.16}
{'loss': 0.7594, 'grad_norm': 0.29221317172050476, 'learning_rate': 0.0001999134408101731, 'epoch': 0.17}
{'loss': 0.7756, 'grad_norm': 0.24804764986038208, 'learning_rate': 0.00019980527694749952, 'epoch': 0.18}
{'eval_loss': 0.8039209842681885, 'eval_runtime': 85.3815, 'eval_samples_per_second': 6.922, 'eval_steps_per_second': 1.733, 'epoch': 0.18}
{'loss': 0.8053, 'grad_norm': 0.2558549642562866, 'learning_rate': 0.0001996539130905593, 'epoch': 0.19}
{'loss': 0.7351, 'grad_norm': 0.2367667555809021, 'learning_rate': 0.00019945941475610623, 'epoch': 0.2}
{'loss': 0.7332, 'grad_norm': 0.24677664041519165, 'learning_rate': 0.0001992218661313415, 'epoch': 0.2}
{'loss': 0.6831, 'grad_norm': 0.22509656846523285, 'learning_rate': 0.00019894137003747403, 'epoch': 0.21}
{'loss': 0.6882, 'grad_norm': 0.22474996745586395, 'learning_rate': 0.00019861804788521493, 'epoch': 0.22}
{'loss': 0.6675, 'grad_norm': 0.24431808292865753, 'learning_rate': 0.00019825203962222572, 'epoch': 0.23}
{'loss': 0.7042, 'grad_norm': 0.18893712759017944, 'learning_rate': 0.00019784350367254322, 'epoch': 0.24}
{'loss': 0.6365, 'grad_norm': 0.23371462523937225, 'learning_rate': 0.0001973926168680066, 'epoch': 0.25}
{'loss': 0.6283, 'grad_norm': 0.2203378975391388, 'learning_rate': 0.0001968995743717171, 'epoch': 0.26}
{'loss': 0.6681, 'grad_norm': 0.2758241891860962, 'learning_rate': 0.00019636458959356316, 'epoch': 0.27}
{'eval_loss': 0.7632200121879578, 'eval_runtime': 85.3319, 'eval_samples_per_second': 6.926, 'eval_steps_per_second': 1.734, 'epoch': 0.27}
{'loss': 0.6306, 'grad_norm': 0.25248488783836365, 'learning_rate': 0.00019578789409784727, 'epoch': 0.28}
{'loss': 0.6351, 'grad_norm': 0.22743454575538635, 'learning_rate': 0.00019516973750305532, 'epoch': 0.29}
{'loss': 0.6574, 'grad_norm': 0.21986906230449677, 'learning_rate': 0.00019451038737381077, 'epoch': 0.29}
{'loss': 0.6245, 'grad_norm': 0.25665736198425293, 'learning_rate': 0.00019381012910506146, 'epoch': 0.3}
{'loss': 0.6387, 'grad_norm': 0.24297906458377838, 'learning_rate': 0.00019306926579854821, 'epoch': 0.31}
{'loss': 0.608, 'grad_norm': 0.22842371463775635, 'learning_rate': 0.0001922881181316097, 'epoch': 0.32}
{'loss': 0.6228, 'grad_norm': 0.2505880892276764, 'learning_rate': 0.0001914670242183795, 'epoch': 0.33}
{'loss': 0.5525, 'grad_norm': 0.26161274313926697, 'learning_rate': 0.0001906063394634356, 'epoch': 0.34}
{'loss': 0.6301, 'grad_norm': 0.23577328026294708, 'learning_rate': 0.00018970643640796642, 'epoch': 0.35}
{'loss': 0.6019, 'grad_norm': 0.22812078893184662, 'learning_rate': 0.00018876770456851877, 'epoch': 0.36}
{'eval_loss': 0.753055214881897, 'eval_runtime': 85.3239, 'eval_samples_per_second': 6.927, 'eval_steps_per_second': 1.735, 'epoch': 0.36}
{'loss': 0.6069, 'grad_norm': 0.2512761950492859, 'learning_rate': 0.00018779055026839868, 'epoch': 0.37}
{'loss': 0.6077, 'grad_norm': 0.25075748562812805, 'learning_rate': 0.00018677539646179707, 'epoch': 0.37}
{'loss': 0.6291, 'grad_norm': 0.23569057881832123, 'learning_rate': 0.00018572268255071718, 'epoch': 0.38}
{'loss': 0.6533, 'grad_norm': 0.2743266820907593, 'learning_rate': 0.00018463286419478255, 'epoch': 0.39}
{'loss': 0.5831, 'grad_norm': 0.22691097855567932, 'learning_rate': 0.00018350641311400812, 'epoch': 0.4}
{'loss': 0.6068, 'grad_norm': 0.24532271921634674, 'learning_rate': 0.00018234381688461942, 'epoch': 0.41}
