==================  TRAIN  track1_no_gradual  ==================
=== Config ===
{
  "model_name_or_path": "Qwen/Qwen2.5-Coder-7B",
  "output_dir": "runs/qwen7b_qlora_v1",
  "quantization": {
    "load_in_4bit": true,
    "bnb_4bit_quant_type": "nf4",
    "bnb_4bit_use_double_quant": true,
    "bnb_4bit_compute_dtype": "bfloat16"
  },
  "lora": {
    "r": 32,
    "alpha": 64,
    "dropout": 0.05,
    "target_modules": [
      "q_proj",
      "k_proj",
      "v_proj",
      "o_proj",
      "gate_proj",
      "up_proj",
      "down_proj"
    ]
  },
  "training": {
    "per_device_train_batch_size": 2,
    "per_device_eval_batch_size": 1,
    "gradient_accumulation_steps": 8,
    "num_train_epochs": 2,
    "learning_rate": 0.0002,
    "lr_scheduler_type": "cosine",
    "warmup_ratio": 0.05,
    "weight_decay": 0.01,
    "bf16": true,
    "optim": "paged_adamw_8bit",
    "packing": true,
    "max_seq_length": 1024,
    "seed": 42,
    "eval_steps": 10,
    "save_steps": 20,
    "save_total_limit": 3,
    "logging_steps": 1,
    "report_to": "none",
    "load_best_model_at_end": true,
    "metric_for_best_model": "eval_loss"
  }
}
=== Output: runs/track1_no_gradual ===
Dropped over-length (> 1024 tok) examples: {'train': 0, 'validation': 1}
Train: 2919, Val: 523
Sample text[0]:
### Module: FontMetrics
### Types in scope:
@type t :: %FontMetrics{
  version: String.t(),
  source: FontMetrics.Source.t(),
  direction: nil,
  smallest_ppem: integer,
  units_per_em: integer,
  max_box: {x_min :: integer, y_min :: integer, x_max :: integer, y_max :: integer},
  ascent: integer,
  descent: integer,
  line_gap: integer,
  metrics: %{integer => number},
  kerning: %{{integer, integer} => number}
}

### Definition:
def points_to_pixels(points) when is_number(points) do
  points * @point_to_pixel_ratio
end

### Elixir type:
(integer() or float() -> integer() or float())<|endofte
{'loss': 1.3642, 'grad_norm': 0.3806912899017334, 'learning_rate': 5e-05, 'epoch': 0.03}
{'loss': 1.2729, 'grad_norm': 0.36832523345947266, 'learning_rate': 0.0001, 'epoch': 0.06}
{'loss': 1.3305, 'grad_norm': 0.308773010969162, 'learning_rate': 0.00015000000000000001, 'epoch': 0.09}
{'loss': 1.2661, 'grad_norm': 0.31339940428733826, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.1308, 'grad_norm': 0.24846062064170837, 'learning_rate': 0.00019987954562051725, 'epoch': 0.15}
{'loss': 1.073, 'grad_norm': 0.3047114312648773, 'learning_rate': 0.0001995184726672197, 'epoch': 0.18}
{'loss': 1.0164, 'grad_norm': 0.28766340017318726, 'learning_rate': 0.0001989176509964781, 'epoch': 0.21}
{'loss': 1.0038, 'grad_norm': 0.31548577547073364, 'learning_rate': 0.00019807852804032305, 'epoch': 0.23}
{'loss': 0.8957, 'grad_norm': 0.3115653097629547, 'learning_rate': 0.00019700312531945442, 'epoch': 0.26}
{'loss': 0.8212, 'grad_norm': 0.3058001697063446, 'learning_rate': 0.0001956940335732209, 'epoch': 0.29}
{'eval_loss': 0.8295940160751343, 'eval_runtime': 18.6834, 'eval_samples_per_second': 4.068, 'eval_steps_per_second': 4.068, 'epoch': 0.29}
{'loss': 0.854, 'grad_norm': 0.2809029519557953, 'learning_rate': 0.00019415440651830208, 'epoch': 0.32}
{'loss': 0.863, 'grad_norm': 0.2896822988986969, 'learning_rate': 0.0001923879532511287, 'epoch': 0.35}
{'loss': 0.8187, 'grad_norm': 0.3069612681865692, 'learning_rate': 0.00019039892931234435, 'epoch': 0.38}
{'loss': 0.7847, 'grad_norm': 0.2668505012989044, 'learning_rate': 0.0001881921264348355, 'epoch': 0.41}
{'loss': 0.7966, 'grad_norm': 0.26669639348983765, 'learning_rate': 0.00018577286100002723, 'epoch': 0.44}
{'loss': 0.668, 'grad_norm': 0.28020337224006653, 'learning_rate': 0.00018314696123025454, 'epoch': 0.47}
{'loss': 0.7083, 'grad_norm': 0.2620476484298706, 'learning_rate': 0.00018032075314806448, 'epoch': 0.5}
{'loss': 0.7369, 'grad_norm': 0.29998499155044556, 'learning_rate': 0.0001773010453362737, 'epoch': 0.53}
{'loss': 0.7137, 'grad_norm': 0.2646816372871399, 'learning_rate': 0.00017409511253549593, 'epoch': 0.56}
{'loss': 0.689, 'grad_norm': 0.30285581946372986, 'learning_rate': 0.00017071067811865476, 'epoch': 0.59}
{'eval_loss': 0.7998900413513184, 'eval_runtime': 18.6224, 'eval_samples_per_second': 4.081, 'eval_steps_per_second': 4.081, 'epoch': 0.59}
{'loss': 0.7771, 'grad_norm': 0.30098462104797363, 'learning_rate': 0.00016715589548470185, 'epoch': 0.62}
{'loss': 0.6908, 'grad_norm': 0.28745460510253906, 'learning_rate': 0.00016343932841636456, 'epoch': 0.64}
{'loss': 0.6915, 'grad_norm': 0.309745728969574, 'learning_rate': 0.00015956993044924334, 'epoch': 0.67}
{'loss': 0.5804, 'grad_norm': 0.3166075646877289, 'learning_rate': 0.00015555702330196023, 'epoch': 0.7}
{'loss': 0.63, 'grad_norm': 0.28514426946640015, 'learning_rate': 0.00015141027441932216, 'epoch': 0.73}
{'loss': 0.5876, 'grad_norm': 0.36243364214897156, 'learning_rate': 0.0001471396736825998, 'epoch': 0.76}
{'loss': 0.6277, 'grad_norm': 0.3466257154941559, 'learning_rate': 0.00014275550934302823, 'epoch': 0.79}
{'loss': 0.6538, 'grad_norm': 0.34490737318992615, 'learning_rate': 0.000138268343236509, 'epoch': 0.82}
{'loss': 0.6547, 'grad_norm': 0.36943626403808594, 'learning_rate': 0.000133688985339222, 'epoch': 0.85}
{'loss': 0.5384, 'grad_norm': 0.32201340794563293, 'learning_rate': 0.00012902846772544624, 'epoch': 0.88}
{'eval_loss': 0.8151810169219971, 'eval_runtime': 18.5843, 'eval_samples_per_second': 4.089, 'eval_steps_per_second': 4.089, 'epoch': 0.88}
{'loss': 0.6307, 'grad_norm': 0.34503409266471863, 'learning_rate': 0.0001242980179903264, 'epoch': 0.91}
{'loss': 0.5663, 'grad_norm': 0.40328091382980347, 'learning_rate': 0.00011950903220161285, 'epoch': 0.94}
{'loss': 0.554, 'grad_norm': 0.32701560854911804, 'learning_rate': 0.00011467304744553618, 'epoch': 0.97}
{'loss': 0.6407, 'grad_norm': 0.3040057122707367, 'learning_rate': 0.0001098017140329561, 'epoch': 1.0}
{'loss': 1.1082, 'grad_norm': 0.837547779083252, 'learning_rate': 0.00010490676743274181, 'epoch': 1.03}
{'loss': 0.5214, 'grad_norm': 0.33025410771369934, 'learning_rate': 0.0001, 'epoch': 1.05}
{'loss': 0.4894, 'grad_norm': 0.29922449588775635, 'learning_rate': 9.509323256725821e-05, 'epoch': 1.08}
{'loss': 0.5442, 'grad_norm': 0.3244220018386841, 'learning_rate': 9.019828596704394e-05, 'epoch': 1.11}
{'loss': 0.4594, 'grad_norm': 0.354600191116333, 'learning_rate': 8.532695255446383e-05, 'epoch': 1.14}
{'loss': 0.4822, 'grad_norm': 0.3671035170555115, 'learning_rate': 8.049096779838719e-05, 'epoch': 1.17}
{'eval_loss': 0.8529412150382996, 'eval_runtime': 18.5884, 'eval_samples_per_second': 4.089, 'eval_steps_per_second': 4.089, 'epoch': 1.17}
{'loss': 0.48, 'grad_norm': 0.4126383066177368, 'learning_rate': 7.570198200967362e-05, 'epoch': 1.2}
{'loss': 0.4782, 'grad_norm': 0.36286893486976624, 'learning_rate': 7.097153227455379e-05, 'epoch': 1.23}
{'loss': 0.4226, 'grad_norm': 0.3317788243293762, 'learning_rate': 6.6311014660778e-05, 'epoch': 1.26}
{'loss': 0.4196, 'grad_norm': 0.3121715188026428, 'learning_rate': 6.173165676349103e-05, 'epoch': 1.29}
{'loss': 0.4429, 'grad_norm': 0.32501015067100525, 'learning_rate': 5.7244490656971815e-05, 'epoch': 1.32}
{'loss': 0.4702, 'grad_norm': 0.33955487608909607, 'learning_rate': 5.286032631740023e-05, 'epoch': 1.35}
{'loss': 0.4745, 'grad_norm': 0.3267669975757599, 'learning_rate': 4.8589725580677835e-05, 'epoch': 1.38}
{'loss': 0.4461, 'grad_norm': 0.32978585362434387, 'learning_rate': 4.444297669803981e-05, 'epoch': 1.41}
{'loss': 0.4786, 'grad_norm': 0.2923809885978699, 'learning_rate': 4.0430069550756665e-05, 'epoch': 1.44}
